PERIOD,DATE,DELHI (P),MUMBAI(P),CHENNAI(P),KOLKATA(P),DELHI(D),MUMBAI(D),CHENNAI(D),KOLKATA(D)
1,16-Jun-17,65.48,76.7,68.02,68.03,54.49,59.9,57.41,56.65
2,17-Jun-17,65.23,76.46,67.76,67.84,54.32,59.73,57.23,56.48
3,18-Jun-17,64.91,76.14,67.42,67.58,54.14,59.53,57.03,56.29
4,19-Jun-17,64.65,75.88,67.14,67.37,54.01,59.39,56.89,56.16
5,20-Jun-17,64.55,75.78,67.04,67.3,53.96,59.34,56.85,56.12
6,21-Jun-17,64.55,75.79,67.04,67.3,53.96,59.34,56.84,56.12
7,22-Jun-17,64.44,75.68,66.93,67.21,53.94,59.32,56.82,56.09
8,23-Jun-17,64.23,75.46,66.7,67.04,53.85,59.23,56.73,56.01
9,24-Jun-17,63.99,75.23,66.45,66.86,53.76,59.13,56.63,55.92
10,25-Jun-17,63.71,74.95,66.15,66.64,53.61,58.97,56.47,55.77
11,26-Jun-17,63.55,74.79,65.98,66.51,53.53,58.88,56.38,55.69
12,27-Jun-17,63.46,74.71,65.89,66.44,53.53,58.89,56.38,55.69
13,28-Jun-17,63.46,74.71,65.9,66.45,53.53,58.88,56.38,55.68
14,29-Jun-17,63.47,74.71,65.9,66.45,53.53,58.88,56.38,55.68
15,30-Jun-17,63.31,74.56,65.74,66.32,53.46,58.8,56.3,55.61
16,1-Jul-17,63.09,74.3,65.46,66.14,53.33,58.63,56.13,55.62
17,2-Jul-17,63.06,74.28,65.44,66.12,53.36,58.67,56.17,55.66
18,3-Jul-17,63.13,74.35,65.51,66.18,53.47,58.79,56.29,55.77
19,4-Jul-17,63.08,74.3,65.46,66.14,53.44,58.76,56.25,55.74
20,5-Jul-17,63.08,74.3,65.46,66.14,53.44,58.76,56.25,55.74
21,6-Jul-17,63.19,74.41,65.58,66.23,53.61,58.93,56.43,55.9
22,7-Jul-17,63.33,74.54,65.72,66.33,53.82,59.15,56.65,56.11
23,8-Jul-17,63.46,74.67,65.86,66.44,54.06,59.41,56.91,56.35
24,9-Jul-17,63.65,74.86,66.05,66.58,54.32,59.69,57.19,56.61
25,10-Jul-17,63.83,75.04,66.25,66.73,54.55,59.93,57.44,56.85
26,11-Jul-17,63.93,73.27,66.38,67.4,54.74,58.27,57.72,57.49
27,12-Jul-17,63.93,73.27,66.38,67.4,54.74,58.27,57.72,57.49
28,13-Jul-17,63.91,73.25,66.36,67.38,54.7,58.22,57.67,57.44
29,14-Jul-17,63.89,73.23,66.34,67.37,54.66,58.19,57.63,57.41
30,15-Jul-17,64.03,73.37,66.49,67.48,54.85,58.39,57.83,57.59
31,16-Jul-17,64.11,73.45,66.57,67.55,54.93,58.47,57.92,57.67
32,17-Jul-17,64.15,73.49,66.61,67.58,54.99,58.54,57.98,57.74
33,18-Jul-17,64.21,73.54,66.67,67.62,55.04,58.59,58.04,57.79
34,19-Jul-17,64.21,73.54,66.67,67.62,55.04,58.59,58.04,57.78
35,20-Jul-17,64.25,73.59,66.72,67.66,55.05,58.6,58.05,57.8
36,21-Jul-17,64.28,73.61,66.75,67.68,55.02,58.57,58.02,57.77
37,22-Jul-17,64.3,73.63,66.77,67.69,54.95,58.49,57.94,57.69
38,23-Jul-17,64.4,73.74,66.88,67.77,54.93,58.48,57.92,57.68
39,24-Jul-17,64.53,73.87,67.01,67.88,54.94,58.48,57.93,57.68
40,25-Jul-17,64.57,73.9,67.05,67.91,54.95,58.5,57.94,57.7
41,26-Jul-17,64.57,73.91,67.06,67.91,54.95,58.49,57.94,57.69
42,27-Jul-17,64.59,73.92,67.07,67.92,54.94,58.49,57.93,57.69
43,28-Jul-17,64.69,74.02,67.18,68,55.03,58.58,58.02,57.77
44,29-Jul-17,64.87,74.2,67.37,68.14,55.19,58.75,58.2,57.94
45,30-Jul-17,65,74.33,67.51,68.24,55.31,58.87,58.32,58.05
46,31-Jul-17,65.26,74.58,67.78,68.45,55.5,59.08,58.53,58.25
47,1-Aug-17,65.4,74.56,67.71,68.56,55.58,59.04,58.49,58.23
48,2-Aug-17,65.47,74.63,67.78,68.61,55.64,59.1,58.55,58.29
49,3-Aug-17,65.69,74.85,68.02,68.78,55.85,59.32,58.77,58.5
50,4-Aug-17,66,75.15,68.34,69.03,56.1,59.59,59.04,58.75
51,5-Aug-17,66.28,75.43,68.64,69.24,56.33,59.83,59.28,58.98
52,6-Aug-17,66.51,75.66,68.88,69.43,56.54,60.06,59.51,59.19
53,7-Aug-17,66.66,75.8,69.03,69.54,56.61,60.13,59.59,59.26
54,8-Aug-17,66.75,75.89,69.13,69.61,56.72,60.25,59.71,59.38
55,9-Aug-17,66.81,75.96,69.2,69.66,56.78,60.32,59.77,59.44
56,10-Aug-17,66.96,76.1,69.35,69.78,56.81,60.35,59.8,59.46
57,11-Aug-17,67.27,76.41,69.68,70.07,56.98,60.52,59.98,59.63
58,12-Aug-17,67.5,76.64,69.92,70.29,57.15,60.7,60.16,59.8
59,13-Aug-17,67.76,76.89,70.19,70.55,57.24,60.8,60.26,59.9
60,14-Aug-17,67.95,77.09,70.4,70.74,57.25,60.81,60.27,59.9
61,15-Aug-17,68.08,77.21,70.53,70.86,57.3,60.86,60.32,59.95
62,16-Aug-17,68.14,77.27,70.59,70.92,57.36,60.92,60.38,60.01
63,17-Aug-17,68.24,77.37,70.7,71.02,57.39,60.96,60.42,60.04
64,18-Aug-17,68.29,77.42,70.76,71.07,57.28,60.85,60.3,59.93
65,19-Aug-17,68.37,77.5,70.83,71.14,57.19,60.74,60.2,59.84
66,20-Aug-17,68.38,77.51,70.85,71.16,57.07,60.62,60.08,59.72
67,21-Aug-17,68.54,77.66,71.01,71.31,57.01,60.55,60.01,59.66
68,22-Aug-17,68.67,77.79,71.15,71.44,57.05,60.6,60.06,59.7
69,23-Aug-17,68.73,77.86,71.22,71.5,57.05,60.6,60.05,59.7
70,24-Aug-17,68.88,78,71.37,71.64,57.06,60.61,60.06,59.71
71,25-Aug-17,69.01,78.13,71.51,71.77,57.02,60.57,60.02,59.67
72,26-Aug-17,69.02,78.14,71.52,71.78,56.97,60.51,59.97,59.62
73,27-Aug-17,69.06,78.18,71.56,71.82,57.03,60.58,60.04,59.69
74,28-Aug-17,69.09,78.22,71.6,71.86,57.03,60.57,60.03,59.68
75,29-Aug-17,69.12,78.24,71.62,71.88,57.02,60.56,60.02,59.67
76,30-Aug-17,69.12,78.24,71.62,71.88,57.01,60.56,60.02,59.66
77,31-Aug-17,69.15,78.28,71.66,71.92,57.05,60.6,60.06,59.71
78,1-Sep-17,69.26,78.38,71.78,72.02,57.13,60.68,60.14,59.78
79,2-Sep-17,69.43,78.54,71.95,72.18,57.21,60.77,60.23,59.87
80,3-Sep-17,69.55,78.67,72.08,72.3,57.28,60.84,60.3,59.93
81,4-Sep-17,69.66,78.78,72.2,72.41,57.38,60.95,60.41,60.03
82,5-Sep-17,69.71,78.82,72.25,72.46,57.46,61.03,60.49,60.11
83,6-Sep-17,69.71,78.82,72.25,72.46,57.46,61.03,60.49,60.11
84,7-Sep-17,69.8,78.92,72.34,72.55,57.59,61.18,60.64,60.25
85,8-Sep-17,69.89,79,72.44,72.64,57.78,61.38,60.84,60.44
86,9-Sep-17,70.03,79.14,72.58,72.78,58.06,61.67,61.13,60.71
87,10-Sep-17,70.17,79.28,72.73,72.91,58.37,62,61.46,61.02
88,11-Sep-17,70.3,79.41,72.87,73.05,58.62,62.26,61.73,61.27
89,12-Sep-17,70.38,79.48,72.95,73.12,58.72,62.37,61.84,61.37
